Hm;km;maxHm;max_speed;minHm;position_lat_max;position_lat_min;position_long_max;position_long_min;speed;type;date;endtime;starttime;rider_weight;rider_height;ride_type
134,8;4,9589;283,4;30,9024;210;48,7172702;48,71312225;9,517255425;9,49041741;13,87198442;MTB;22.04.2020;19:03:16;18:27:16;74;183;Training
329,2;11,10381;534,4;40,0752;341,4;48,74377688;48,71396681;9,517455334;9,489272526;16,8602461;MTB;14.04.2020;12:47:41;11:57:47;74;183;Training
388,2;16,05416;455,4;41,1804;267,2;48,74683385;48,71394443;9,517420549;9,480477059;17,17575366;MTB;04.05.2020;13:52:01;12:48:28;74;183;Training
450,2;22,26266;468,6;39,906;235;48,77745939;48,71389473;9,531488987;9,480472617;17,40292613;MTB;06.01.2020;15:27:04;14:03:59;76;183;Training
202,4;14,16321;373,2;29,8944;283,2;48,7171656;48,70317033;9,536965219;9,477965757;12,46223032;MTB;31.12.2018;15:50:35;14:25:41;76;183;Training
358,6;14,22792;425,2;40,2408;260;48,74683301;48,71394385;9,517302532;9,486200893;17,53605968;MTB;06.04.2020;16:08:29;15:14:09;75;183;Training
315,8;12,26983;530,2;37,62;332;48,74673938;48,71393337;9,516906319;9,485954717;17,89259218;MTB;24.03.2020;16:08:47;15:21:57;75;183;Training
1614,8;37,71624;2043,6;43,938;536,4;46,65119478;46,48768782;11,00358143;10,68679017;15,39489026;MTB;17.07.2016;11:55:08;09:09:42;73;183;Training
246,2;15,53121;445,2;40,0068;291,2;48,73669879;48,70884798;9,517316027;9,473104086;16,9619979;MTB;23.05.2020;12:13:04;11:10:10;73;183;Training
225,4;12,22875;370,2;29,0232;299,8;48,71751797;48,69984733;9,523225771;9,468247695;12,38072663;MTB;01.06.2019;12:28:01;11:13:12;74;183;Training
253;10,04175;394,6;39,7728;263,2;48,7367407;48,71393957;9,516808586;9,489323152;16,42881518;MTB;30.04.2020;14:14:20;13:33:33;74;183;Training
44,8;15,94302;911,6;35,136;741;47,50625627;47,40649335;10,28297279;10,24754936;15,63780984;MTB;11.08.2019;11:09:55;09:54:38;73;183;Training
250,4;10,73033;392,6;31,7088;234,6;48,74364881;48,71396539;9,517351817;9,494071836;17,29044649;MTB;09.11.2019;13:49:14;13:12:22;75;183;Training
298,8;24,3381;397,2;33,5916;291,2;48,73666056;48,70161692;9,560142774;9,465957424;15,72779854;MTB;12.01.2019;14:57:18;13:13:25;76;183;Training
131,4;2,83576;582,6;26,838;485,8;46,65132335;46,63843056;11,00742982;11,00013488;13,14014211;MTB;08.08.2018;16:11:44;15:54:09;73;183;Training
79,4;6,71139;314,4;33,2892;266;48,71734556;48,70911252;9,51721075;9,478611667;16,36697872;MTB;24.08.2019;17:27:36;17:02:07;73;183;Training
404,8;22,62444;386,8;33,1884;284,6;48,71735469;48,67030439;9,524411559;9,451264283;14,80577622;MTB;08.09.2018;15:34:50;13:31:38;70;183;Training
60;3,12274;318;20,6928;270,2;48,71717121;48,7093333;9,524632338;9,512014054;10,60310289;MTB;15.07.2017;16:49:39;16:20:14;73;183;Training
185,6;13,31922;329,2;34,362;274,4;48,71731999;48,70399981;9,523469433;9,477326134;14,30229257;MTB;19.04.2020;12:02:00;10:54:46;74;183;Training
460;22,14889;496,2;33,4548;268;48,76648069;48,71389138;9,534904612;9,487572173;16,27034748;MTB;20.01.2019;14:48:44;13:26:25;76;183;Training
110,4;10,67104;333,4;33,1524;272;48,71718982;48,7089375;9,523474127;9,478235738;14,00557822;MTB;24.04.2020;18:39:03;16:57:12;74;183;Training
521,4;25,73314;499,4;36,8496;302,6;48,74681918;48,69986166;9,517359529;9,468210312;17,66337221;MTB;16.06.2020;20:15:03;18:41:14;73;183;Training
483,2;28,95687;525,6;36,2772;285,4;48,77850956;48,7154945;9,602920236;9,487578375;13,38721349;MTB;26.01.2019;16:33:41;14:17:06;76;183;Training
240,2;10,08563;384;39,5028;259,8;48,73672963;48,7139498;9,517331449;9,489254672;16,40458909;MTB;30.07.2020;18:16:34;17:33:19;73;183;Training
359,8;13,48025;549,2;45,8856;350,8;48,74373682;48,71484758;9,531688979;9,496713141;17,91492222;MTB;31.03.2020;14:39:29;13:50:52;75;183;Training
178,4;12,05961;329,4;30,5676;266,8;48,7173531;48,69985001;9,517248636;9,468243169;12,8603797;MTB;04.07.2020;12:33:09;11:30:43;73;183;Training
436,4;21,67114;516;44,1036;283,4;48,77734557;48,71390956;9,530088454;9,48047488;17,63988784;MTB;18.01.2020;14:58:21;13:37:11;76;183;Training
164,2;8,90075;413,4;30,4668;290,4;48,73670046;48,71394142;9,517308734;9,494145261;16,1439168;MTB;15.09.2019;18:16:07;17:35:02;73;183;Training
260,2;22,27452;475,8;37,7568;275,6;48,75645334;48,7064024;9,584317273;9,502761019;15,31540305;MTB;31.08.2019;18:30:12;16:41:51;73;183;Training
552;28,68716;499;41,0472;285;48,75386694;48,71541915;9,579315456;9,496588586;16,30247809;MTB;23.01.2019;16:32:50;14:44:44;76;183;Training
135,4;20,01576;428,4;28,2492;330,2;48,69236036;48,63391603;9,170328788;9,124690164;13,07731331;MTB;29.07.2017;17:28:03;14:18:23;73;183;Training
334,2;22,21561;392,6;39,2004;257,4;48,73671161;48,69982763;9,517240003;9,468205785;16,75424237;MTB;29.06.2020;18:31:41;16:56:11;73;183;Training
28,4;3,237;539;26,0676;514;46,65119737;46,64066509;11,00654938;10,99285101;15,22122545;MTB;08.08.2018;18:20:24;17:59:51;73;183;Training
191,6;12,9227;328,8;33,7572;268;48,71734321;48,69985102;9,523166846;9,468221711;14,51867294;MTB;25.08.2019;14:00:28;13:00:37;73;183;Training
300,6;15,12016;464,6;39,9384;247,6;48,75657815;48,71391795;9,517296078;9,480486279;17,53260764;MTB;03.06.2020;09:06:21;08:10:59;72;183;Training
72;7,41326;311,6;27,6768;266,6;48,71725889;48,70892719;9,520353796;9,47819978;14,26537385;MTB;07.07.2018;18:34:17;18:02:00;73;183;Training
504,8;18,5485;501,8;37,62;302,2;48,75121398;48,71391166;9,51728275;9,480497176;17,24571582;MTB;30.03.2020;13:35:11;12:19:46;75;183;Training
128,4;11,3504;313,6;26,5356;257,6;48,71718002;48,70607223;9,523174977;9,463200867;12,90602812;MTB;21.05.2017;12:28:41;11:31:24;73;183;Training
249,2;10,26785;379;36,9144;253,4;48,7367215;48,71390831;9,517264981;9,493955327;15,760215;MTB;07.07.2019;16:56:39;15:57:25;73;183;Training
