Begabung;Vorbereitung;Leistung
niedrig;niedrig;schlecht
niedrig;niedrig;schlecht
niedrig;hoch;gut
niedrig;niedrig;schlecht
hoch;niedrig;gut
niedrig;niedrig;schlecht
niedrig;hoch;gut
niedrig;hoch;schlecht
niedrig;niedrig;schlecht
niedrig;niedrig;schlecht
niedrig;niedrig;schlecht
hoch;niedrig;schlecht
niedrig;hoch;schlecht
niedrig;hoch;schlecht
hoch;hoch;gut
niedrig;hoch;schlecht
niedrig;niedrig;schlecht
niedrig;niedrig;schlecht
niedrig;hoch;schlecht
niedrig;niedrig;schlecht
niedrig;niedrig;schlecht
niedrig;hoch;gut
niedrig;niedrig;schlecht
niedrig;niedrig;schlecht
niedrig;niedrig;schlecht
niedrig;niedrig;schlecht
hoch;niedrig;gut
