Palm_Position_X;Palm_Position_Y;Palm_Position_Z;Valid;Thumb;Spread;w01;w02;w03;w11;w12;w13;w21;w22;w23;w31;w32;w33;rock;paper;scissors
1,427867;179,46783;-16,160448;1;9,851015;11,425858;15,447843;16,460596;6,7635264;13,064305;26,382566;26,002508;15,196811;37,18324;50,489887;13,067266;34,874634;35,112373;0;1;0
0,26130122;183,94122;-19,06891;1;14,840199;6,2730427;20,718596;2,7642088;6,0660796;17,493938;8,783153;13,047101;18,208246;54,98998;142,03502;18,0778;18,909672;48,480927;0;1;0
0,3449336;184,1407;-20,60739;1;14,672318;6,890737;21,593561;2,9837346;10,109548;17,430912;9,626206;14,062218;15,766642;38,570503;125,72254;17,753462;26,122057;57,070522;0;1;0
0,54571545;184,11841;-21,554197;1;13,328535;8,44692;21,467163;4,4862003;9,376956;17,567215;12,4410095;11,691283;13,180957;19,981121;105,855896;16,214262;36,98947;64,41192;0;1;0
0,65718806;184,09921;-22,130888;1;12,528086;9,120204;21,090853;5,3202715;7,8609495;17,616863;13,808882;11,524067;12,425004;13,621458;84,89639;14,708087;40,214336;68,947716;0;1;0
0,619373;184,4028;-22,881687;1;11,493205;6,2133446;20,124512;6,200742;5,0622926;17,247282;11,268864;9,580947;12,50541;15,859107;49,19163;13,635011;33,68101;69,04617;0;1;0
0,55328625;184,5721;-23,295155;1;10,933927;5,19437;19,478903;6,668122;4,100213;16,79856;10,348169;8,484663;12,242036;16,997295;37,831863;12,373202;26,250092;74,66024;0;1;0
0,51898646;184,67552;-23,629654;1;10,652221;4,6893063;19,054245;6,6023307;3,9153666;16,490158;9,667496;8,130935;12,1286335;18,060097;33,9294;11,671667;22,815956;78,63445;0;1;0
0,48772064;184,72656;-23,852108;1;10,456716;4,444353;18,825006;6,120517;4,1662636;16,362968;9,078008;8,328598;12,240747;19,396116;34,20615;11,36148;21,525047;81,479866;0;1;0
0,4781918;184,86694;-23,953897;1;10,01406;4,663377;18,612825;5,406098;4,1868486;16,203777;8,8822365;8,561877;12,366937;20,86628;32,216152;11,474903;21,508856;80,27549;0;1;0
0,48520854;184,97778;-23,971058;1;9,881947;4,9177294;18,412989;4,776432;4,2289696;16,154066;8,7457905;8,93061;12,650722;22,411303;30,990217;11,710413;21,931541;78,94282;0;1;0
0,5109992;185,03333;-23,957241;1;9,938718;4,978191;18,306854;4,3147492;4,3640814;16,1682;8,475029;9,087051;12,876776;23,417292;30,705433;11,869946;22,514965;78,6055;0;1;0
